id;jhi_group;text;date;date_time;jhi_check;description
1;systemic;1080p;2024-01-19;2024-01-19T04:35:00;true;panel
2;Qatar;bandwidth Graphical Money;2024-01-19;2024-01-19T05:35:56;true;Handmade
3;zero Chair;Borders Dollar Human;2024-01-18;2024-01-18T23:00:53;true;distributed teal indigo
4;Grass-roots;Drives;2024-01-19;2024-01-18T13:09:23;false;fresh-thinking
5;Maine Assistant;Practical Checking ADP;2024-01-18;2024-01-18T15:40:34;false;Bike Georgia
6;Mobility Auto;Terrace Human parse;2024-01-18;2024-01-18T21:01:51;false;Human
7;Direct Forward;copying copying Nevada;2024-01-18;2024-01-19T04:03:27;false;Technician HTTP
8;access Electronics;SSL static port;2024-01-19;2024-01-19T01:51:25;true;ability interface
9;Hat;Shilling B2C group;2024-01-18;2024-01-18T14:36:30;false;online
10;workforce Producer withdrawal;virtual;2024-01-18;2024-01-18T22:14:11;true;Borders
